"Hello World", "Olá Mundo"
"Configuration", "Configuração"
"Is enabled", "Exibir mensagem"
"The message will appear on frontend?", "A mensagem será exibida na loja?"
"Custom message", "Mensagem personalizada"
"Type in the custom message to be displayed", "Digite a mensagem a ser exibida"
"Welcome tho the Hello World module. This is a simple module to understand the basics of a Magento 1.x module", "Bem vindo ao Olá Mundo. Esse é um módulo simples para entender o básico de um módulo em Magento 1.x"
"Custom message:": "Mensagem personalizada:"
"Default message:": "Mensagem padrão:"
"This module is not enabled": "Este módulo não está ativo"
"Click here to say hello to the world...", "Clique aqui para dizer olá para o mundo..."
